,TESLA DIAGNOSTICS,Unnamed: 1,Unnamed: 2
0,"4-109,Sri Venkateswara Swamy Temple Lane , Chandanagar,Hyd , - 500050, Email Id: tesla.cdnr@gmail.com",,
1,,,
2,"Phone No : 9000799249,42036799,040-23031720",,
3,,,
4,TEST MENU,,
5,,,
6,CARDIOLOGY,,
7,,,
8,SNo         Test    Name Of Test                  Methodology                    Sample/Volume        Temp     Referral Lab      Schedule,Turn around,MRP
9,Code                                                                                               Name,time,
10,,,
11,1       CR001   2D ECHO                                                      ---Select---()                IH,,1100.00
12,,,
13,2       CR002   2D ECHO Color Doppler(PA                                     .()                           IH,,1200.00
14,EDIATRIC),,
15,,,
16,3       CR003   Fetal Echo                                                   ---Select---()                IH,,1200.00
17,,,
18,4       CR004   Fetal Echocardiography                                       ---Select---()                IH,,1200.00
19,,,
20,5       CR005   TMT (Treadmill Test (Stress                                  .()                           IH,,1000.00
21,Test),,
22,,,
23,6       CR006   ECG (Electro Cardio Gram)                                    .()                           IH,,200.00
24,,,
25,,,
26,,,
27,,,
28,Page 1 of 86,,
29,CLINICAL BIOCHEMISTRY,,
30,,,
31,SNo         Test        Name Of Test                  Methodology                    Sample/Volume       Temp    Referral Lab   Schedule,Turn around,MRP
32,Code                                                                                                 Name,time,
33,,,
34,7       24HTGL      Triglycerides(Chyle) - 24     GPO-PAP                        24 Hrs. Urine()             IH             DAILY,8 HRS,300.00
35,Urine,,
36,,,
37,8       ACR         Albumin Creatinine Ratio -    Spectrophotometry/Calculati    Urine(20ml)         2-8°C   IH             Daily,Same Day,450.00
38,Spot Urine                    on,,
39,,,
40,9       ALBUMIN     Albumin-Serum                 Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,150.00
41,,,
42,10       ALP         ALP (Alkaline Phosphatase     Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,150.00
43,),,
44,,,
45,11       ALT         ALT/SGPT                      Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,150.00
46,,,
47,12       AMY         Amylase - Serum               Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,500.00
48,,,
49,13       AMY-F       Amylase - Fluids              Spectrophotometry              Fluid.(2ml)         2-8°C   IH             Daily,Same Day,500.00
50,,,
51,14       AMY-U       Amylase - Urine               Spectrophotometry              Urine(20ml)         2-8°C   IH             Daily,Same Day,500.00
52,,,
53,15       APTT        APTT (PTTK)                   Clotting                       Citrate Plasma(2m   2-8°C   IH             Daily,Same Day,500.00
54,l),,
55,,,
56,16       AST         AST/SGOT                      Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,150.00
57,,,
58,17       BC094       Protein - Any Other Fluid     Spectrophotometry              Fluid.(2ml)         2-8°C   IH             Daily,Same Day,250.00
59,,,
60,18       BC103       Protein - Total Serum         Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,180.00
61,,,
62,19       BUN         Urea Nitrogen (BUN)           Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,170.00
63,,,
64,20       BUN/CRE     BUN / Creatinine Ratio         Spectrophotometry/Calculati   Serum(2ml)          2-8°C   IH             Daily,Same Day,350.00
65,on,,
66,,,
67,21       CAL         Calcium - Serum               Spectrophotometry              Serum(2ml)          2-8°C   IH             Daily,Same Day,200.00
68,,,
69,22       CAL-12hrs   Calcium 12hrs Urine                                          12 hrs Urine()              IH,,300.00
70,,,
71,23       CAL-24hrs   Calcium 24hrs Urine           Spectrophotometry/Calculati    24 Hrs. Urine(20m   2-8°C   IH             Daily,Same Day,300.00
72,on                             l (24 hrs Urine,,
73,Volume)),,
74,,,
75,24       CAL-U       Calcium - Spot Urine          Spectrophotometry              Urine(20ml)         2-8°C   IH             Daily,Same Day,300.00
76,,,
77,25       CAL/CRE-    Calcium / Creatinine Ratio-   Spectrophotometry /            Urine(20ml)         2-8°C   IH             Daily,Same Day,350.00
78,U           Spot Urine                    Calculation,,
79,,,
80,26       CCT         Creatinine Clearance Test(     Spectrophotometry/Calculati   24 Hrs. Urine(2ml   2-8°C   IH             Daily,Same Day,400.00
